,logFC,logCPM,LR,PValue,FDR,change,ENSEMBL
ENSG00000144583,4.28991024733178,-2.66762777933354,163.297211776075,2.15422810540204e-37,2.05853001010361e-35,UP,ENSG00000144583
ENSG00000051341,3.78092227387718,1.04159535276672,163.131172536663,2.34188156904881e-37,2.20647558175427e-35,UP,ENSG00000051341
ENSG00000162745,3.94139688137925,2.89765231129979,162.978781700249,2.52846360925323e-37,2.36751868106052e-35,UP,ENSG00000162745
ENSG00000073111,3.18354870111608,4.53715096911217,162.711486116918,2.89235359239159e-37,2.69572702768232e-35,UP,ENSG00000073111
ENSG00000051180,3.0958195382058,1.19223044029411,161.724922061658,4.75100924908187e-37,4.28923951430543e-35,UP,ENSG00000051180
ENSG00000231666,4.06261384839458,-3.72512928929172,161.452525986947,5.44875886492141e-37,4.85396945834118e-35,UP,ENSG00000231666
ENSG00000139155,4.61096244508797,-2.14582106544799,161.398807085374,5.59801287426344e-37,4.9722849153957e-35,UP,ENSG00000139155
ENSG00000278023,4.10213141210752,-0.718217603631262,161.326509296578,5.80536165398932e-37,5.14135747769409e-35,UP,ENSG00000278023
ENSG00000139734,4.28833976645403,1.45447598245787,160.99041869333,6.87476452838956e-37,6.0441970464132e-35,UP,ENSG00000139734
ENSG00000199753,3.31419884497175,0.465453119133222,160.617418860967,8.29375739192258e-37,7.19781512423585e-35,UP,ENSG00000199753
ENSG00000215784,4.25934135187771,-1.72784294200749,160.330885746863,9.5797514107118e-37,8.21204715165289e-35,UP,ENSG00000215784
ENSG00000140451,3.48572797042224,0.982431580516862,160.329820819931,9.58488508310233e-37,8.21204715165289e-35,UP,ENSG00000140451
ENSG00000184661,3.96374131265501,0.800324681241658,160.28763071977,9.79049908870639e-37,8.37634666022167e-35,UP,ENSG00000184661
ENSG00000085999,4.16297671244521,0.841772718237159,158.928755280707,1.93957766697823e-36,1.60713936876958e-34,UP,ENSG00000085999
ENSG00000274270,3.3008050783057,-2.65717721186271,157.886996364411,3.27591649339178e-36,2.62455148148718e-34,UP,ENSG00000274270
ENSG00000123219,3.39189296565362,0.931648681541209,157.83469417696,3.36326555331653e-36,2.69096834376998e-34,UP,ENSG00000123219
ENSG00000186868,3.7735844004158,2.39580022112509,157.539438664832,3.90190479126908e-36,3.10550548703005e-34,UP,ENSG00000186868
ENSG00000138160,3.01580620716634,2.57080985756101,157.145183548345,4.75801144388106e-36,3.73284819996729e-34,UP,ENSG00000138160
ENSG00000274825,3.58366126054388,-2.07471595806698,155.679223765871,9.94865988012378e-36,7.55998164357949e-34,UP,ENSG00000274825
ENSG00000114346,3.23420613316389,3.22946581233081,155.169288151083,1.28587648464416e-35,9.65013607979605e-34,UP,ENSG00000114346
ENSG00000276043,4.00337591722628,2.1596407198876,154.962001981853,1.42724168017942e-35,1.06713219716554e-33,UP,ENSG00000276043
ENSG00000161381,3.76913919458142,2.50585092087752,154.864445561871,1.49905188428302e-35,1.11944012810508e-33,UP,ENSG00000161381
ENSG00000226330,3.78997510919315,-1.84514432345879,154.50234889198,1.79865100955469e-35,1.32517420543172e-33,UP,ENSG00000226330
ENSG00000138180,3.92406182904019,1.57931108073473,153.493018858627,2.98899684148203e-35,2.14470273959152e-33,UP,ENSG00000138180
ENSG00000165891,4.2757004524848,0.506434879994038,153.473752124065,3.0181171186917e-35,2.1628371471003e-33,UP,ENSG00000165891
ENSG00000065328,3.81231981960073,1.45419918368979,152.56055705051,4.7787398850247e-35,3.3572174002947e-33,UP,ENSG00000065328
ENSG00000099953,4.56869613122509,3.68132211252997,152.05753696975,6.15532302875951e-35,4.27177700836558e-33,UP,ENSG00000099953
ENSG00000106031,7.57451018081113,2.10741396931783,151.982060214566,6.39362053079163e-35,4.42998074073911e-33,UP,ENSG00000106031
ENSG00000068489,3.28316100612653,2.10027670891021,150.816864878763,1.14925297598629e-34,7.71542885809751e-33,UP,ENSG00000068489
ENSG00000164362,9.15496867677138,1.94646144691691,150.343417016257,1.45846999560506e-34,9.62049433960296e-33,UP,ENSG00000164362
ENSG00000115507,5.17018379035876,-0.0496586025073936,150.297054716165,1.49290115860148e-34,9.83688510691573e-33,UP,ENSG00000115507
ENSG00000228727,3.47695568719468,-1.57861426414503,150.252292923217,1.52691479179709e-34,1.00500567928425e-32,UP,ENSG00000228727
ENSG00000159259,3.35104465177829,2.17969861159026,149.722165056153,1.99383034693716e-34,1.29820032320275e-32,UP,ENSG00000159259
ENSG00000128266,4.26397630854169,2.94841197159054,149.292052071358,2.47572649738499e-34,1.59820431562245e-32,UP,ENSG00000128266
ENSG00000104147,3.0293213791186,0.598164807716951,149.05134156979,2.7945902369424e-34,1.78688344875446e-32,UP,ENSG00000104147
